NOTE #,SECTOR,RAD DIST,ANGLE (RAD),DIAMETER,SECTOR DENSITY,angleadjusted,radnorm,xc,yc,radcol,,radmax,1041.024241,
18,2,925.657183,3.29572516,23.77511024,0.00838389,1.69072516,0.889179278,-0.106382789,0.882792439,3.396444321,,,,
19,2,1029.261577,2.598487555,9.79418087,0.00838389,0.993487555,0.988700874,0.539604109,0.828466549,1.399168696,,,,
20,2,941.1646229,3.547651097,12.99351692,0.00838389,1.942651097,0.904075607,-0.328490504,0.842286585,1.856216703,,,,
21,2,898.782225,3.418267891,17.84384346,0.00838389,1.813267891,0.863363397,-0.207295815,0.838107869,2.549120494,,,,
22,2,852.9137176,3.0037792,22.93185234,0.00838389,1.3987792,0.819302456,0.140240045,0.80721078,3.275978906,,,,
23,2,854.020201,3.342477541,20.90446091,0.00838389,1.737477541,0.820365335,-0.136107205,0.808995743,2.986351558,,,,
24,2,837.061894,3.197178774,22.69788933,0.00838389,1.592178774,0.804075314,-0.017191788,0.803891506,3.242555618,,,,
25,2,860.3120565,3.4245201,13.92823601,0.00838389,1.8195201,0.826409244,-0.203434855,0.800978463,1.989748001,,,,
26,2,939.4862881,3.647031719,12.91790771,0.00838389,2.042031719,0.902463411,-0.409706996,0.804102224,1.845415388,,,,
27,2,800.1105849,3.015205908,11.75682449,0.00838389,1.410205908,0.768580167,0.12289678,0.758690882,1.679546356,,,,
28,2,829.0393855,3.420191709,17.09735489,0.00838389,1.815191709,0.796368953,-0.192697171,0.772703895,2.44247927,,,,
29,2,845.5793664,3.500201406,15.43884182,0.00838389,1.895201406,0.812257134,-0.258902861,0.769890226,2.205548831,,,,
30,2,884.1783692,2.67315991,11.39457989,0.00838389,1.06815991,0.849335043,0.409156577,0.744285504,1.627797127,,,,
31,2,839.3623334,2.787570078,25.03474045,0.00838389,1.182570078,0.806285099,0.305217014,0.746282945,3.576391493,,,,
32,2,813.4698954,2.865082552,24.2313652,0.00838389,1.260082552,0.781413019,0.238907896,0.743995513,3.461623601,,,,
33,2,868.4411904,2.671070961,10.29605293,0.00838389,1.066070961,0.834218029,0.403400367,0.73019714,1.470864705,,,,
34,2,854.5150863,2.678352445,10.54093075,0.00838389,1.073352445,0.820840718,0.391689406,0.721359061,1.50584725,,,,
35,2,836.3858412,2.715597913,9.301622391,0.00838389,1.110597913,0.803425903,0.356822242,0.719841003,1.328803199,,,,
36,2,794.8813528,3.415754071,16.83449554,0.00838389,1.810754071,0.763557006,-0.181468166,0.741679584,2.404927935,,,,
37,2,780.9191404,3.37770508,16.49374771,0.00838389,1.77270508,0.75014501,-0.150433835,0.734906251,2.356249673,,,,
38,2,770.6614249,3.344335548,16.97606659,0.00838389,1.739335548,0.740291527,-0.124178312,0.729802227,2.42515237,,,,
39,2,750.1713095,3.232563782,18.36310387,0.00838389,1.627563782,0.720608877,-0.040885165,0.719448092,2.623300552,,,,
40,2,802.4421963,3.564602659,16.19156456,0.00838389,1.959602659,0.770819895,-0.292205574,0.713287609,2.313080651,,,,
41,2,729.3209971,3.293998725,16.74429131,0.00838389,1.688998725,0.700580225,-0.082617563,0.695691735,2.392041615,,,,
42,2,780.3785045,2.694518111,11.26477337,0.00838389,1.089518111,0.74962568,0.347011149,0.66447116,1.609253338,,,,
43,2,724.477326,2.914917407,22.2551651,0.00838389,1.309917407,0.695927431,0.179500445,0.672379788,3.1793093,,,,
