"","X","geplaatst","omschrijving","kunstenaar","locatie","wijk.buurt","materiaal","image","imageURL","type"
"597","Oost_103","onbekend","Olifant met kalf","onbekend","Transvaalplein","Transvaalbuurt","keramiek","//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Olifant_met_kalf%2C_kalf%2C_Amsterdam.JPG/150px-Olifant_met_kalf%2C_kalf%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/1/1c/Olifant_met_kalf%2C_kalf%2C_Amsterdam.JPG","NA"
"598","Oost_11","1939","Toekomst der Spoorwegen","Reijn, Theo van Theo van Reijn","Julianaplein (Julianapark)","Watergraafsmeer","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Toekomst_der_spoorwegen_Theo_van_Reijn_Amstelstation_Amsterdam.jpg/150px-Toekomst_der_spoorwegen_Theo_van_Reijn_Amstelstation_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/3/38/Toekomst_der_spoorwegen_Theo_van_Reijn_Amstelstation_Amsterdam.jpg","NA"
"599","Oost_12","1939","Terugblik","Reijn, Theo van Theo van Reijn","Julianaplein (Julianapark)","Watergraafsmeer","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Beeld_Terugblik_Station_Amsterdam_Amstel.jpg/150px-Beeld_Terugblik_Station_Amsterdam_Amstel.jpg","https://upload.wikimedia.org/wikipedia/commons/d/dc/Beeld_Terugblik_Station_Amsterdam_Amstel.jpg","NA"
"600","Oost_13","1945","Grafmonument van Albert Hahn","Krop, Hildo Hildo Krop","Kruislaan","Watergraafsmeer","kalksteen","//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Graf_Albert_Hahn.JPG/150px-Graf_Albert_Hahn.JPG","https://upload.wikimedia.org/wikipedia/commons/6/61/Graf_Albert_Hahn.JPG","NA"
"601","Oost_14","1945","Grafmonument van Jan Willem Pieneman","Hove, Bart van Bart van Hove","Kruislaan","Watergraafsmeer","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Graf_Jan_Willem_Pieneman.JPG/150px-Graf_Jan_Willem_Pieneman.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f4/Graf_Jan_Willem_Pieneman.JPG","NA"
"602","Oost_15","1950 / 2003","Zeeman op de uitkijk","Starreveld, Pieter Pieter Starreveld","Java-eiland","Oostelijk Havengebied","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Joop_Hoorn_2.jpg/150px-Joop_Hoorn_2.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c6/Joop_Hoorn_2.jpg","NA"
"603","Oost_16","1950","Fortuna","Starreveld, Pieter Pieter Starreveld","Piet Heinkade / Oostelijke Handelskade","Oostelijk Havengebied","brons","//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Fortuna_Amsterdam.JPG/150px-Fortuna_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/2/27/Fortuna_Amsterdam.JPG","NA"
"604","Oost_17","1955","Heilig Hartbeeld","Meij, Jacques van der Jacques van der Meij","Linnaeushof 94","Watergraafsmeer","diabas","//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Overzicht_noordgevel_kerk_-_Amsterdam_-_20367698_-_RCE.jpg/150px-Overzicht_noordgevel_kerk_-_Amsterdam_-_20367698_-_RCE.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3e/Overzicht_noordgevel_kerk_-_Amsterdam_-_20367698_-_RCE.jpg","NA"
"605","Oost_18","1956 / 2009","Amphitrite, beeldengroep met fontein","Termote, Albert Albert Termote","Azartplein (KNSM-eiland)","Oostelijk Havengebied","brons","//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Amsterdam_kunstwerk_amphitrite.jpg/150px-Amsterdam_kunstwerk_amphitrite.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b4/Amsterdam_kunstwerk_amphitrite.jpg","NA"
"606","Oost_19","1957","Verzetsmonument","Krop, Hildo Hildo Krop","Kruislaan","Watergraafsmeer","brons, travertijn","//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Verzetsmonument_Hildo_Krop.JPG/150px-Verzetsmonument_Hildo_Krop.JPG","https://upload.wikimedia.org/wikipedia/commons/4/4f/Verzetsmonument_Hildo_Krop.JPG","NA"
"607","Oost_2","1700","Koning David","onbekend","Middenweg Park Frankendael","Watergraafsmeer","hardsteen","//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Frankendael_Koning_David.jpg/150px-Frankendael_Koning_David.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e3/Frankendael_Koning_David.jpg","NA"
"608","Oost_20","1957","Bokkenrijder","Bolhuis, Gerrit Gerrit Bolhuis","Oosterpark","Oosterparkbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Beeld_de_Bokkenrijder_in_Amsterdams_Oosterpark.jpg/150px-Beeld_de_Bokkenrijder_in_Amsterdams_Oosterpark.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f9/Beeld_de_Bokkenrijder_in_Amsterdams_Oosterpark.jpg","NA"
"609","Oost_21","1957","Spelende kinderen","Rubinstein, Gerda Gerda Rubinstein","Oosterpark","Oosterparkbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Spelende_kinderen_1957.jpg/150px-Spelende_kinderen_1957.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7d/Spelende_kinderen_1957.jpg","NA"
"610","Oost_22","1958","Christus Koning","onbekend","James Wattstraat 58","Watergraafsmeer","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Christus_Koning_Aula_Regio.JPG/150px-Christus_Koning_Aula_Regio.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b5/Christus_Koning_Aula_Regio.JPG","NA"
"612","Oost_24","1962","Het Buikschot","Jansma, Adam Adam Jansma","Tugelaweg","Transvaalbuurt","natuursteen","//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Het_Buikschot%2C_Amsterdam_%28close_up%29.JPG/150px-Het_Buikschot%2C_Amsterdam_%28close_up%29.JPG","https://upload.wikimedia.org/wikipedia/commons/7/71/Het_Buikschot%2C_Amsterdam_%28close_up%29.JPG","NA"
"613","Oost_25","1962","Gedenksteen Gevallen voor het Vaderland","onbekend","Kruislaan","Watergraafsmeer","kalksteen","//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Gevallen_voor_het_Vaderland.JPG/150px-Gevallen_voor_het_Vaderland.JPG","https://upload.wikimedia.org/wikipedia/commons/9/94/Gevallen_voor_het_Vaderland.JPG","NA"
"614","Oost_26","1967","Standbeeld voor F.M. Wibaut","Wezelaar, Han Han Wezelaar","Wibautstraat
later Rhijnspoorplein","Oosterparkbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Beeld_Wibaut.jpg/150px-Beeld_Wibaut.jpg","https://upload.wikimedia.org/wikipedia/commons/4/4d/Beeld_Wibaut.jpg","NA"
"615","Oost_27","1967","Compositie","Vries, Leo de Leo de Vries","Galileïplantsoen","Watergraafsmeer","kalksteen","//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Compositie_de_Vries.jpg/150px-Compositie_de_Vries.jpg","https://upload.wikimedia.org/wikipedia/commons/7/75/Compositie_de_Vries.jpg","NA"
"616","Oost_28","1967","Spelende Kinderen","Bolhuis, Gerrit Gerrit Bolhuis","Kruislaan","Watergraafsmeer","brons en rood zandsteen","//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Spelende_kinderen.JPG/150px-Spelende_kinderen.JPG","https://upload.wikimedia.org/wikipedia/commons/1/14/Spelende_kinderen.JPG","NA"
"617","Oost_29","1969","Bolgewas","Koning, Paul Paul Koning","Oosterpark","Oosterparkbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Sculptuur_Bolgewas.jpg/150px-Sculptuur_Bolgewas.jpg","https://upload.wikimedia.org/wikipedia/commons/7/71/Sculptuur_Bolgewas.jpg","NA"
"618","Oost_3","1714","Neptunus & Amphitrite fontein","Logteren, Ignatius van Ignatius van Logteren","Middenweg Park Frankendael","Watergraafsmeer","hardsteen","//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Frankendael_fontein.jpg/150px-Frankendael_fontein.jpg","https://upload.wikimedia.org/wikipedia/commons/7/78/Frankendael_fontein.jpg","NA"
"619","Oost_30","1969","Monument Leven en Vrijheid (Hun Leven onze Vrijheid 1940 - 1945)","Soerink, Arend Arend Soerink","Ceramplein","Indische Buurt","baksteen en gepolijst graniet (gedenksteen)","//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Monument_op_het_Ceramplein%2C_Amsterdam.jpg/150px-Monument_op_het_Ceramplein%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/2/21/Monument_op_het_Ceramplein%2C_Amsterdam.jpg","NA"
"620","Oost_31","1969","Phoenix (Monument Leven en Vrijheid)","Soerink, Arend Arend Soerink","Ceramplein","Indische Buurt","brons, betonnen sokkel en graniet","//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Beeld_op_het_Ceramplein%2C_Amsterdam.jpg/150px-Beeld_op_het_Ceramplein%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/5/54/Beeld_op_het_Ceramplein%2C_Amsterdam.jpg","NA"
"621","Oost_32","1970","Het westen ontvangt en ontmoet 't oosten","Niermijer, Theo Theo Niermijer","Oosterpark","Oosterparkbuurt","gegalvaniseerd staal en beton","//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Het_westen_ontvangt_en_ontmoet_%27t_oosten.JPG/150px-Het_westen_ontvangt_en_ontmoet_%27t_oosten.JPG","https://upload.wikimedia.org/wikipedia/commons/9/94/Het_westen_ontvangt_en_ontmoet_%27t_oosten.JPG","NA"
"622","Oost_33","1971","De Titaantjes","Bayens, Hans Hans Bayens","Oosterpark","Oosterparkbuurt","beton en brons","//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/De_Titaantjes.jpg/150px-De_Titaantjes.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9a/De_Titaantjes.jpg","NA"
"623","Oost_34","1971","Moeder en Kind","Rueter, Gerarda Gerarda Rueter","Robert Kochplantsoen","Watergraafsmeer","brons","//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Moeder_en_Kind.jpg/150px-Moeder_en_Kind.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5a/Moeder_en_Kind.jpg","NA"
"624","Oost_35","1975","Sluis","Pennock, Lon Lon Pennock","Gooiseweg","Watergraafsmeer","cortenstaal","//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Sluis_Lon_Pennock.JPG/150px-Sluis_Lon_Pennock.JPG","https://upload.wikimedia.org/wikipedia/commons/6/66/Sluis_Lon_Pennock.JPG","NA"
"625","Oost_36","1981","Vijfstromenland","Visser, Carel Carel Visser","Linnaeusstraat","Dapperbuurt","metaal","//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Vijfstromenland%2C_Amsterdam.JPG/150px-Vijfstromenland%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/c/ca/Vijfstromenland%2C_Amsterdam.JPG","NA"
"626","Oost_37","1982","Rotsvast","Ligtvoet, Rob Rob Ligtvoet","Flevopark","Indische Buurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Rotsvast_door_Rob_Ligtvoet_Flevopark_Amsterdam.jpg/150px-Rotsvast_door_Rob_Ligtvoet_Flevopark_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/Rotsvast_door_Rob_Ligtvoet_Flevopark_Amsterdam.jpg","NA"
"627","Oost_38","1982","Dwazen denken te beschermen",", Berend Peter Berend Peter","Javaplantsoen","Indische Buurt","beton en cortenstaal","//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Dwazen_denken_te_beschermen%2C_Berend_Peter%2C_Javaplantsoen_Amsterdam.jpg/150px-Dwazen_denken_te_beschermen%2C_Berend_Peter%2C_Javaplantsoen_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/8/80/Dwazen_denken_te_beschermen%2C_Berend_Peter%2C_Javaplantsoen_Amsterdam.jpg","NA"
"628","Oost_39","1985","Dubbele rode kolom, een geknikt en enkele rode kolom","Herwijnen, Hendrik Jan van Hendrik Jan van Herwijnen","Iepenplein","Oosterparkbuurt","acryl, staal en tegels","//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Sculptuur_Iepenplein%2C_Amsterdam.JPG/150px-Sculptuur_Iepenplein%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/0/0b/Sculptuur_Iepenplein%2C_Amsterdam.JPG","NA"
"629","Oost_4","1889","Muziek en Vreugde","Hove, Bart van Bart van Hove","Linnaeusstraat 89","Dapperbuurt","Beton en baksteen","//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Muziek_en_Vreugde%2C_Amsterdam.JPG/150px-Muziek_en_Vreugde%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/4/4f/Muziek_en_Vreugde%2C_Amsterdam.JPG","NA"
"630","Oost_40","1985","Zonder titel","Box, Dik Dik Box","Amstelboulevard","Omval","metaal","//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Zonder_titel_Dik_Box.JPG/150px-Zonder_titel_Dik_Box.JPG","https://upload.wikimedia.org/wikipedia/commons/2/28/Zonder_titel_Dik_Box.JPG","NA"
"631","Oost_41","1987","Verzonken toren","Dolderen, Rik van Rik van Dolderen","Transvaalkade","Transvaalbuurt","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Verzonken_toren.JPG/150px-Verzonken_toren.JPG","https://upload.wikimedia.org/wikipedia/commons/4/4b/Verzonken_toren.JPG","NA"
"632","Oost_42","1987","Horizontaal beeld","Bennekum, Henk van Henk van Bennekum","Hugo de Vrieslaan","Watergraafsmeer","staal","//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Horizontaal_Beeld.jpg/150px-Horizontaal_Beeld.jpg","https://upload.wikimedia.org/wikipedia/commons/a/a7/Horizontaal_Beeld.jpg","NA"
"633","Oost_43","1987","Keramische davidsster","Blits, Mieke Mieke Blits","Transvaalstraat en Transvaalplein","Transvaalbuurt","Keramiek","//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Monument_op_het_Transvaalplein%2C_Amsterdam.JPG/150px-Monument_op_het_Transvaalplein%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b3/Monument_op_het_Transvaalplein%2C_Amsterdam.JPG","NA"
"634","Oost_44","1987","Imaginaire Familie","Hauser, Dick Dick Hauser","Vrolikstraat","Oosterparkbuurt","beton","//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/De_Imaginaire_Familie%2C_Amsterdam.JPG/150px-De_Imaginaire_Familie%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b5/De_Imaginaire_Familie%2C_Amsterdam.JPG","NA"
"635","Oost_45","1987","zadel druppel","onbekend","Transvaalplein","Transvaalbuurt","gepolijst graniet","//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Zadel%2C_Amsterdam.JPG/150px-Zadel%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/3/39/Zadel%2C_Amsterdam.JPG","NA"
"636","Oost_46","1987","Tegen Apartheid en racisme","Grégoire, Pépé Pépé Grégoire","Schalk Burgerstraat","Transvaalbuurt","brons en hardsteen","//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Tegen_apartheid_en_racisme%2C_Amsterdam.JPG/150px-Tegen_apartheid_en_racisme%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/c/cd/Tegen_apartheid_en_racisme%2C_Amsterdam.JPG","NA"
"637","Oost_47","1990 (verplaatst in 1993)","De Wokkel","Snieder, Jan Willem Jan Willem Snieder","A10 Ringweg Oost","Watergraafsmeer","beton","//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/De_Wokkel.JPG/150px-De_Wokkel.JPG","https://upload.wikimedia.org/wikipedia/commons/5/5c/De_Wokkel.JPG","NA"
"638","Oost_48","1991","Dansende Beer","Beekman, Marinka Marinka Beekman","Derde Oosterparkstraat 159","Oosterparkbuurt","gemoffeld aluminium","//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Dansende_beer%2C_Amsterdam.JPG/150px-Dansende_beer%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/a/a3/Dansende_beer%2C_Amsterdam.JPG","NA"
"639","Oost_49","1991","Monument voor de vliegramp op 7 juni 1989","Lo A Njoe, Guillaume Guillaume Lo A Njoe","'s-Gravesandeplein",NA,"aluminium","//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Amsterdam_Sculpture_02.jpg/150px-Amsterdam_Sculpture_02.jpg","https://upload.wikimedia.org/wikipedia/commons/8/8f/Amsterdam_Sculpture_02.jpg","NA"
"640","Oost_5","1957","Grafmonument Johannes Bernardus van Bree","Haytsma, Atze Atze Haytsma","Kruislaan","Watergraafsmeer","hardsteen","//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Johannes_Bernardus_van_Bree.JPG/150px-Johannes_Bernardus_van_Bree.JPG","https://upload.wikimedia.org/wikipedia/commons/2/25/Johannes_Bernardus_van_Bree.JPG","NA"
"641","Oost_50","1992","Monument voor de Tachtigers","Wolkers, Jan Jan Wolkers","Oosterpark","Oosterparkbuurt","staal","//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Sculptuur_in_Amsterdam_Oosterpark_dichterbij.jpg/150px-Sculptuur_in_Amsterdam_Oosterpark_dichterbij.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3a/Sculptuur_in_Amsterdam_Oosterpark_dichterbij.jpg","NA"
"642","Oost_51","1992","Stenen sculptuur met tulp","Renswou, Harry van Harry van Renswou","Timorplein","Indische Buurt","beton, brons en staal","//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Stenen_sculptuur_met_tulp.jpg/150px-Stenen_sculptuur_met_tulp.jpg","https://upload.wikimedia.org/wikipedia/commons/9/97/Stenen_sculptuur_met_tulp.jpg","NA"
"644","Oost_53","1993","KIJKER","Kletter, Barbara Barbara Kletter","Hugo de Vrieslaan","Watergraafsmeer","staal","//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Barbara_Kletter.jpg/150px-Barbara_Kletter.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e0/Barbara_Kletter.jpg","NA"
"645","Oost_54","1993","Vijf Wolken","Loo, Bert van Bert van Loo","Mauritskade","Oosterparkbuurt","glas","//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Bert_van_Loo_Mauritskade_Amsterdam.JPG/150px-Bert_van_Loo_Mauritskade_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/2/27/Bert_van_Loo_Mauritskade_Amsterdam.JPG","NA"
"646","Oost_55","1993","Hekwerk","Tordoir, Narcisse Narcisse Tordoir","Barcelonaplein (KNSM-eiland)","Oostelijk Havengebied","beton / staal","//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Narcisse_Tordoir_Hekwerk.JPG/150px-Narcisse_Tordoir_Hekwerk.JPG","https://upload.wikimedia.org/wikipedia/commons/3/35/Narcisse_Tordoir_Hekwerk.JPG","NA"
"647","Oost_56","1995","Sporen","Tap, Wim Wim Tap","Javaplantsoen","Indische Buurt","steen","//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Sporen_volgen_door_Wim_Tap_Javaplantsoen_Amsterdam.jpg/150px-Sporen_volgen_door_Wim_Tap_Javaplantsoen_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f7/Sporen_volgen_door_Wim_Tap_Javaplantsoen_Amsterdam.jpg","NA"
"648","Oost_57","1995","Les Grandes Formes","Vieille, Jacques Jacques Vieille","Ringweg-Oost / Gooiseweg (Betondorp)","Watergraafsmeer","fruitbomen en staal","//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Les_Grandes_Formes.JPG/150px-Les_Grandes_Formes.JPG","https://upload.wikimedia.org/wikipedia/commons/a/ac/Les_Grandes_Formes.JPG","NA"
"649","Oost_58","1996","Oute Waal","Pasmans, Ingrid Ingrid Pasmans","Oeterwalerstraat t.o. 26 - 34","Dapperbuurt","Geëmailleerd staal en zeefdruk","//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Oute_Waal_%28Keermuur%29%2C_Amsterdam.JPG/150px-Oute_Waal_%28Keermuur%29%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/f/fa/Oute_Waal_%28Keermuur%29%2C_Amsterdam.JPG","NA"
"650","Oost_59","1997","Fontein - Krugerplein","Veneman, Peter Peter Veneman","Krugerplein","Transvaalbuurt","brons en een kei","//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Fontein-Krugerplein%2C_Amsterdam.JPG/150px-Fontein-Krugerplein%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/2/21/Fontein-Krugerplein%2C_Amsterdam.JPG","NA"
"651","Oost_6","1903","Tegeltableau (voormalige) openbare school","onbekend","Tweede Boerhaavestraat 80","Oosterparkbuurt","wandtegels","//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Tegeltableau_openbare_school_104_Amsterdam-Oost.jpg/150px-Tegeltableau_openbare_school_104_Amsterdam-Oost.jpg","https://upload.wikimedia.org/wikipedia/commons/3/36/Tegeltableau_openbare_school_104_Amsterdam-Oost.jpg","NA"
"652","Oost_60","1998","Maria van de 21ste eeuw","Zijlmans, Sylvi Sylvi Zijlmans & Jongenelis, Hewald Hewald Jongenelis","Onze Lieve Vrouwe Gasthuis","Oosterparkbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Maria_van_de_21ste_eeuw.jpg/150px-Maria_van_de_21ste_eeuw.jpg","https://upload.wikimedia.org/wikipedia/commons/8/86/Maria_van_de_21ste_eeuw.jpg","NA"
"653","Oost_61","1999","Hemelwater","Lyon, Erick de Erick de Lyon","Vrolikstraat 347-349","Oosterparkbuurt","chroom","//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Hemelwater%2C_Amsterdam.JPG/150px-Hemelwater%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/0/0f/Hemelwater%2C_Amsterdam.JPG","NA"
"654","Oost_62","2001","Fragment van een huiskamer...","Manders, Mark Mark Manders","P.E. Tegelbergplein, eiland Sporenburg","Oostelijk Havengebied","gietijzer en bestrating","//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Fragment_van_een_huiskamer.JPG/150px-Fragment_van_een_huiskamer.JPG","https://upload.wikimedia.org/wikipedia/commons/6/64/Fragment_van_een_huiskamer.JPG","NA"
"655","Oost_63","2001","Animeertegels","Aafjes, Kees Kees Aafjes","Eikenplein","Oosterparkbuurt","composiet beton","//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Animeertegels%2C_Amsterdam.JPG/150px-Animeertegels%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/b/b5/Animeertegels%2C_Amsterdam.JPG","NA"
"656","Oost_64","2002","gedenkteken Muiderpoortstation","Maas, Steffen Steffen Maas[2]","Oosterspoorplein","Dapperbuurt","roestvast staal","//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Gedenkteken_Muiderpoortstation_Victor_E._van_Vriesland_Amsterdam.jpg/75px-Gedenkteken_Muiderpoortstation_Victor_E._van_Vriesland_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fc/Gedenkteken_Muiderpoortstation_Victor_E._van_Vriesland_Amsterdam.jpg","NA"
"657","Oost_65","2002","Nationaal Monument Slavernijverleden","Vries, Erwin de Erwin de Vries","Oosterpark","Oosterparkbuurt","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Slavernij_monument_oosterpark.jpg/150px-Slavernij_monument_oosterpark.jpg","https://upload.wikimedia.org/wikipedia/commons/5/56/Slavernij_monument_oosterpark.jpg","NA"
"658","Oost_66","2002","Al Ela Ani Bochea","Couzijn, Wessel Wessel Couzijn","President Brandtstraat 330","Transvaalbuurt","kalksteen","//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Daarom_moet_ik_wenen%2C_Amsterdam.JPG/150px-Daarom_moet_ik_wenen%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/8/8d/Daarom_moet_ik_wenen%2C_Amsterdam.JPG","NA"
"660","Oost_68","2003","onbekend","Prop, John John Prop en Loes Diephuis","Reinwardtstraat","Dapperbuurt","onbekend","//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Raket_in_de_Reinwardtstraat%2C_Amsterdam.jpg/150px-Raket_in_de_Reinwardtstraat%2C_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/2/27/Raket_in_de_Reinwardtstraat%2C_Amsterdam.jpg","NA"
"661","Oost_69","2003","Kastanje","Handle with Care","Kastanjeplein","Oosterparkbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Kastanje%2C_Kastanjeplein%2C_Amsterdam.JPG/150px-Kastanje%2C_Kastanjeplein%2C_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/e/e7/Kastanje%2C_Kastanjeplein%2C_Amsterdam.JPG","NA"
"662","Oost_7","1904","Justus van Maurikbank","Jacobs, Eduard Eduard Jacobs","Oosterpark","Oosterparkbuurt","graniet en marmer","//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Justus_van_Maurikbank.JPG/150px-Justus_van_Maurikbank.JPG","https://upload.wikimedia.org/wikipedia/commons/0/07/Justus_van_Maurikbank.JPG","NA"
"663","Oost_70","2003","Man en schaap","Bolink, Merijn Merijn Bolink","Zeeburgerdijk",NA,"steen","//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Man_en_Schaap_Merijn_Bolink_Zeeburgerdijk_Amsterdam.jpg/150px-Man_en_Schaap_Merijn_Bolink_Zeeburgerdijk_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cc/Man_en_Schaap_Merijn_Bolink_Zeeburgerdijk_Amsterdam.jpg","NA"
"665","Oost_72","2004","Voor de bijen","Mandersloot, Frank Frank Mandersloot","Rietlandpark","Oostelijk Havengebied","hout en beton","//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Voor_de_Bijen.jpg/150px-Voor_de_Bijen.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7f/Voor_de_Bijen.jpg","NA"
"666","Oost_73","2005","Sightless among Miracles","Wallen, Skip Skip Wallen","Mauritskade","Oosterparkbuurt","brons","//upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Sightless_among_Miracles_Skip_Wallen_Mauritskade_Amsterdam.JPG/150px-Sightless_among_Miracles_Skip_Wallen_Mauritskade_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/5/5c/Sightless_among_Miracles_Skip_Wallen_Mauritskade_Amsterdam.JPG","NA"
"667","Oost_74","2005","Theo Thijssenmonument","Wolkers, Jan Jan Wolkers","De Nieuwe Ooster","Watergraafsmeer","glas","//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Theo_Thijssen_monument.jpg/150px-Theo_Thijssen_monument.jpg","https://upload.wikimedia.org/wikipedia/commons/4/48/Theo_Thijssen_monument.jpg","NA"
"668","Oost_75","2005","Toegangspoort Park Frankendael","Splunter, AnneMarie van AnneMarie van Splunter","Nobelweg","Watergraafsmeer","gebeitst roestvast staal","//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/AnneMarie_van_Splunter.jpg/150px-AnneMarie_van_Splunter.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/AnneMarie_van_Splunter.jpg","NA"
