"","X","geplaatst","omschrijving","kunstenaar","locatie","wijk.buurt","materiaal","image","imageURL","type"
"57","Centrum_15","circa 1875","Bodhisattva Jizô-bosatsu","anoniem","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Bodhisattva_Jiz%C3%B4-bosatsu.JPG/150px-Bodhisattva_Jiz%C3%B4-bosatsu.JPG","https://upload.wikimedia.org/wikipedia/commons/a/af/Bodhisattva_Jiz%C3%B4-bosatsu.JPG","NA"
"58","Centrum_150","1993","Borstplaat","De Onbekende Beeldhouwer (toegeschreven aan)","Oudekerksplein","Oudezijde","brons","//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Bronze_relief_Oudekerksplein_Amsterdam.jpg/150px-Bronze_relief_Oudekerksplein_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/5/51/Bronze_relief_Oudekerksplein_Amsterdam.jpg","NA"
"59","Centrum_151","1993","Luipaard","onbekend","Zeedijk 12 [21]","Oudezijde","hardsteen","//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Zeedijk12_Sint_Olofsteeg3_Amsterdam.jpg/150px-Zeedijk12_Sint_Olofsteeg3_Amsterdam.jpg","https://upload.wikimedia.org/wikipedia/commons/a/aa/Zeedijk12_Sint_Olofsteeg3_Amsterdam.jpg","NA"
"60","Centrum_152","1993","Gorilla]] met jong","Heyster, Hetty Hetty Heyster","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Gorilla_en_jong_Artis.JPG/150px-Gorilla_en_jong_Artis.JPG","https://upload.wikimedia.org/wikipedia/commons/2/28/Gorilla_en_jong_Artis.JPG","NA"
"61","Centrum_153","1994","Tante Leen","Verkade, Kees Kees Verkade","Johnny Jordaanplein / Elandsgracht","Jordaan","brons","//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Tanteleen.jpg/150px-Tanteleen.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7c/Tanteleen.jpg","NA"
"62","Centrum_154","1994","Blauw Jan","Houwelingen, Hans van Hans van Houwelingen","Kleine-Gartmanplantsoen","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Blauw_Jan_Hagedissen_Houwelingen_Gartmanplantsoen.jpg/150px-Blauw_Jan_Hagedissen_Houwelingen_Gartmanplantsoen.jpg","https://upload.wikimedia.org/wikipedia/commons/4/44/Blauw_Jan_Hagedissen_Houwelingen_Gartmanplantsoen.jpg","NA"
"63","Centrum_155","1994","Harmonicaspeler (geplaatst in het holst van de nacht, vanwege anonimiteit)","(F.d.G.) Amsterdams medicus die anoniem wil blijven","Anjeliersstraat","Jordaan","ijzer","//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Harmonica_Anjelier.jpg/150px-Harmonica_Anjelier.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9d/Harmonica_Anjelier.jpg","NA"
"64","Centrum_156","1994","Zeeleeuwen","Grol, Henny van Henny van Grol","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Artis_Zeeleeuwen_Henny_van_Grol_1994.JPG/150px-Artis_Zeeleeuwen_Henny_van_Grol_1994.JPG","https://upload.wikimedia.org/wikipedia/commons/4/4f/Artis_Zeeleeuwen_Henny_van_Grol_1994.JPG","NA"
"66","Centrum_158","1995","Dikkertje Dap","Rosen, Frank Frank Rosen","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Dikkertje_Dap_artis.JPG/150px-Dikkertje_Dap_artis.JPG","https://upload.wikimedia.org/wikipedia/commons/e/e4/Dikkertje_Dap_artis.JPG","NA"
"67","Centrum_159","1995 [13]","Fontein met vier boegbeelden","Spronken, Arthur Arthur Spronken","Marineterrein / Voorwerf","Oostelijke eilanden","brons","//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Fontein_met_boegbeelden.JPG/150px-Fontein_met_boegbeelden.JPG","https://upload.wikimedia.org/wikipedia/commons/5/53/Fontein_met_boegbeelden.JPG","NA"
"68","Centrum_16","voor 1878","Zittende vrouw in klassiek gewaad","anoniem","Artis","Plantage","marmer","//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Zittende_vrouw_in_klassiek_gewaad.JPG/150px-Zittende_vrouw_in_klassiek_gewaad.JPG","https://upload.wikimedia.org/wikipedia/commons/7/76/Zittende_vrouw_in_klassiek_gewaad.JPG","NA"
"69","Centrum_160","1996","Johnny Meijer","Cerneüs, Rob Rob Cerneüs","Johnny Jordaanplein / Elandsgracht","Jordaan","brons","//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Johnnymeijerbeeld.jpg/150px-Johnnymeijerbeeld.jpg","https://upload.wikimedia.org/wikipedia/commons/1/1f/Johnnymeijerbeeld.jpg","NA"
"70","Centrum_161","1996","From One Language To Another","Weiner, Lawrence Lawrence Weiner","Spui","Nieuwezijde","hardsteen, klinkers","//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Amsterdam_Lawrence_Weiner_Translation.jpg/150px-Amsterdam_Lawrence_Weiner_Translation.jpg","https://upload.wikimedia.org/wikipedia/commons/5/5e/Amsterdam_Lawrence_Weiner_Translation.jpg","NA"
"71","Centrum_162","1997","Fête galante","Ban, Hans van den Hans van den Ban","Weesperstraat / Nieuwe Kerkstraat","Grachtengordel","beton","//upload.wikimedia.org/wikipedia/commons/thumb/8/84/F%C3%AAte_galante_Hans_van_den_Ban_Weesperstraat_Amsterdam.JPG/150px-F%C3%AAte_galante_Hans_van_den_Ban_Weesperstraat_Amsterdam.JPG","https://upload.wikimedia.org/wikipedia/commons/8/84/F%C3%AAte_galante_Hans_van_den_Ban_Weesperstraat_Amsterdam.JPG","NA"
"73","Centrum_164","1997","Vaste klant","Zweep, Albert Albert Zweep","Looiersgracht","Grachtengordel","brons","//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Amsterdam_F2853_%289825516964%29.jpg/150px-Amsterdam_F2853_%289825516964%29.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d3/Amsterdam_F2853_%289825516964%29.jpg","NA"
"74","Centrum_165","1998","Uithangborden, 4 voorbeelden uit 35","Geelen, Guido Guido Geelen","Haarlemmer Houttuinen","Haarlemmerbuurt","brons met gouden vernislaag","//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Tussen_de_bogen_1.JPG/150px-Tussen_de_bogen_1.JPG","https://upload.wikimedia.org/wikipedia/commons/2/20/Tussen_de_bogen_1.JPG","NA"
"75","Centrum_166","1999","Twee Cheetahs","Heyster, Hetty Hetty Heyster","Artis","Plantage","brons","//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Twee_Cheetahs_Artis.jpg/150px-Twee_Cheetahs_Artis.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e9/Twee_Cheetahs_Artis.jpg","NA"
"76","Centrum_167","2003","Manke Nelis
(Cornelis Pieters)","Cerneüs, Rob Rob Cerneüs","Johnny Jordaanplein / Elandsgracht","Jordaan","brons","//upload.wikimedia.org/wikipedia/commons/thumb/7/71/Manke_Nelis.jpg/150px-Manke_Nelis.jpg","https://upload.wikimedia.org/wikipedia/commons/7/71/Manke_Nelis.jpg","NA"
"77","Centrum_168","2003","De werken van barmhartigheid","Smith, Tineke Tineke Smith","Hoftuin, Nieuwe Herengracht/Nieuwe Keizersgracht","Weesperbuurt","cortenstaal, glas en gietrubber","//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/De_werken_van_barmhartigheid.JPG/150px-De_werken_van_barmhartigheid.JPG","https://upload.wikimedia.org/wikipedia/commons/f/f4/De_werken_van_barmhartigheid.JPG","NA"
